Milla Jovovich
Zhang Yimou
Yu Rongguang
Luk Suk Bung
Martin Lawrence
Lynn Whitfield
Malinda Williams
Faizon Love
Wendy Raquel Robinson
Bobby Brown
Daryl Mitchell
Roger E. Mosley
Della Reese
Simbi Khali
Tracy Morgan
Miguel A. Núñez, Jr.
Tangie Ambrose
Stacii Jae Johnson
Ayoub Ahmadi
Rojin Younessi
Madi Ekhtiar-dini
Amaneh Ekhtiar-dini
Nezhad Ekhtiar-Dini
Kolsolum Ekhtiar-dini
Osman Karimi
Rahman Salehi
Karim Ekhtiar-dini
Kate Mulgrew
Lorne Greene
Rossano Brazzi
Jean-Pierre Aumont
George Murdock
William Prince
Jean LeClerc
Robin Clarke
Leonard Mann
Matthew McConaughey
Sandra Bullock
Samuel L. Jackson
Ashley Judd
Brenda Fricker
Doug Hutchison
Nicky Katt
Oliver Platt
Beth Grant
Chris Cooper
Kurtwood Smith
Tonea Stewart
Joe Seneca
John Diehl
Patrick McGoohan
Rae'Ven Larrymore Kelly
Darrin Mitchell
LaConte McGrew
M. Emmet Walsh
Devin Lloyd
Tim Parati
Mark W. Johnson
Thomas Merdis
Andrew Stahl
Joe Bullen
Lorraine Middleton
Graham Timbes
Jonathan Hadary
Benjamin Mouton
Patrick Sutton
Greg Lauren
Mike Pniewski
Elisabeth Omilami
Lukas Cain
Stacy Rae Toyon
Helen E. Floyd
David Brian Williams
Octavia Spencer
Rebecca Koon
James M. Crumley Jr.
Jim Ritchie
Perry Ritchie
Mike McLaren
Tim Monich
Leonard L. Thomas
Brance H. Beamon
Mildred J. Gilbreath
Will Crapps
Maggie Wade Dixon
Russell Hambline
Robert Chapman
Robert R. Bell Jr.
Tommy McCullough
Ryk St. Vincent
Bettina Rose
Linda Calvin Johnson
Terrance Freeman
Alice Julius-Scott
William Truly Jr.
Walter L. Hutchins
Jerry Hunt
Howard Ballou
Todd Demers
Stephanie Strickland
Kim Hendrix
Rob Jay
Sherri Hilton
Steve Coulter
Jackie Stewart
Rosebud Dixon-Green
Eva Ford
Lorin Moore
Robert 'Bobby Z' Zajonc
Nastassja Kinski
Christopher Lambert
Andrzej Seweryn
Audrey DeWilder
Rufus
Francine Bergé
Feng Hsu
Ying Bai
Roy Chiao
Miao Tien
Peng Tien
Shih Chun
Jackie Chan
Dorothy McGuire
Joan Blondell
James Dunn
Peggy Ann Garner
John Alexander
Audrey Tautou
Gaspard Ulliel
Jodie Foster
Chantal Neuwirth
André Dussollier
Ticky Holgado
Bouli Lanners
Albert Dupontel
Jean-Pierre Darroussin
Clovis Cornillac
Denis Lavant
Julie Depardieu
Jean-Claude Dreyfus
Jean-Pierre Becker
Dominique Bettenfeld
Jérôme Kircher
Jean-Paul Rouve
Elina Löwensohn
Michel Vuillermoz
Urbain Cancelier
Maud Rayer
Michel Robin
Philippe Duquesne
Stéphane Butet
Christian Pereira
François Levantal
Patrick Paroux
Solène Le Pechon
Virgil Leclaire
Florence Thomassin
Thierry Gibault
Myriam Roustan
Gilles Masson
Sandrine Rigault
Michel Chalmeau
Marc Faure
Rodolphe Pauly
Xavier Maly
Till Bahlmann
Tony Gaultier
Louis-Marie Audubert
Jean-Gilles Barbier
Marc Robert
Pierre Heitz
Philippe Maymat
Eric Debrosse
Michel Gondoin
Eric Fraticelli
Philippe Beautier
Gérald Weingand
Luc Sonzogni
Xavier Berlioz
Frankye Pain
Marcel Philippot
Pascale Lievyn
Jean-Claude Lecoq
Esther Sironneau
Stephanie Gesnel
Frédérique Bel
Alexandre Caumartin
Eric Defosse
Gaspar Claus
Jean-Philippe Bèche
Anaïs Durand
Morgan Berthon
Xavier Bonastre
Vincent Bowen
Marie-Thé Colmagne
Rachel Desmarest
Arnaud Klein
Julien Lecat
Arnaud Marciszewer
Arnaud Mathey-Dreyfus
Christophe Perie
Aleksandrs Petukhovs
Aleksandra Yermak
Marija Vicković
Darko Rundek
Branislav Trifunović
Sergej Trifunović
Aitana Sánchez-Gijón
Anthony Quinn
Giancarlo Giannini
Freddy Rodriguez
Debra Messing
Angélica Aragón
Febronio Covarrubias
Ismael Gallegos
Evangelina Elizondo
Alejandra Flores
Don Amendolia
Gema Sandoval
Gregory Paul Martin
Dana Andrews
Richard Conte
George Tyne
Lloyd Bridges
Norman Lloyd
John Ireland
Herbert Rudley
Richard Benedict
Sterling Holloway
Huntz Hall
Mandy Moore
Shane West
Paz de la Huerta
Daryl Hannah
Al Thompson
Marisa Miller
Kevin Osborne
David Lee Smith
Robert C. Treveiler
Paula Jones
Chip Thomas
Jonathan Parks Jordan
Kelly Cole Childers
Xavier Hernandez
Sheila Brothers
Adam Shankman
Matt Lutz
David Andrews
Erik Scott Smith
Ryan Sweeney
Dean Mumford
Anne Fletcher
Mervyn Warren
Charles E. Bailey
Desi Arnaz, Jr.
Carol Burnett
Howard Duff
Lillian Gish
Nina van Pallandt
Vittorio Gassman
Amy Stryker
Jean-Claude Brialy
Anna Karina
Jean-Paul Belmondo
Dorothée Blank
Henri Attal
Karyn Balm
Marie Dubois
Ernest Menzer
Nicole Paquin
Gisèle Sandré
Marion Sarraut
Dominique Zardi
Charles K. French
Lydia Knott
Clarence Geldart
Betty Morrissey
Malvina Polo
Carl Miller
Peter Falk
Lady Rowlands
Katherine Cassavetes
Matthew Laborteaux
Matthew Cassel
Fred Draper
Christina Grisanti
O.G. Dunn
Mario Gallo
Charles Horvath
John P. Finnegan
Jodhi May
Jeroen Krabbé
Tim Roth
Carolyn Clayton-Cragg
Kate Fitzpatrick
Yvonne Bryceland
Nadine Chalmers
Linda Mvusi
Andréa Ferréol
Brian Deacon
Eric Deacon
Frances Barber
Wolf Kahler
Agnes Brulet
Guusje van Tilborgh
David Attenborough
Jim Davidson
Gerard Thoolen
Hiroshi Okochi
Ryûnosuke Kaneda
Atsuko Ichinomiya
Kin Sugai
Maiko Minami
Tokuko Sugiyama
Haruna Takase
Yakan Yanagi
Yoriko Douguchi
Fukumi Kuroda
Mitsuko Ishii
Kazuyo Mita
Isao Hashizume
Haley Joel Osment
Jude Law
Ashley Scott
Frances O'Connor
Chris Rock
Robin Williams
Jake Thomas
Sam Robards
Enrico Colantoni
Daveigh Chase
Clara Bellar
Ken Leung
Adrian Grenier
Linda Asuma
Ronnie Gene Blevins
Richard A. Eisenstein
Hallie Bird
Harry August Jansen
Sheila Ryan
John Shelton
Don Costello
George Lynn
James Bush
Lou Lubin
Robert Emmett Keane
Addison Richards
Dick Lane
Edward Gargan
Eric Schlosser
Lou Adler
Bill Maher
Tommy Chong
Jay Leno
Steven Hager
Amitabh Bachchan
Jaya Prada
Dalip Tahil
Umesh Sharma
Viju Khote
Jagdarshan
Gurbachchan Singh
Vijay Kumar
Rajbaldeo
Anand
Sadashiv Amrapurkar
Ashok Kumar
Om Shivpuri
Bharat Kapoor
Ajith Kumar
Asin
Lal
Keerthi Chawla
Geetha
Aditya Srivastava
Vincent Asokan
Sathyan
Dino Morea
Ameesha Patel
Lillete Dubey
Bhumicka Singh
Kamini Khanna
Tiku Talsania
Sanjan Koshal
Sharmila Mehta
Mona Punjabi
Sanjay Arjan
Lucy Bartholomew
Moses Gunn
Kevin Hooks
Irene Cara
Robert Hooks
Ernestine Jackson
Leon Pinkney
Wanda Velez
Lou Quinones
Charles McGregor
José Feliciano
Walt Frazier
Andre La Corbiere
Norman Evans
Alex Stevens
William Graeff Jr.
Frank Aldrich
Harry Madsen
Santos Morales
Joel Tricoche
Drew Bundini Brown
Suriya
Trisha
Vadivelu
Kalabhavan Mani
Malavika
Aishwarya Bhaskaran
Raj Kapoor
Delhi Ganesh
Crane Manohar
Singamuthu
Aryan
Chaams
Bobby
Jaya Prakash Reddy
Reddy
Siddharth
Ileana D'Cruz
Gundu Hanmantha Rao
Sunil
Abhinaya Sri
Ravi Babu
Sarath Babu
Brahmanandam
Venkateswara Rao Paruchuri
Ahuti Prasad
Sharada
Sharwanand
Smita
Munna
Vijay
Prakash Raj
Manivannan
Nassar
Adithya
Vijayakumar
Sai Kumar
Rajan P. Dev
Livingstone
Sneha Nambiar
Karate Raja
Meera Jasmine
R. Madhavan
Esha Deol
P. Bharathiraja
Janagaraj
R.S. Shivaji
Suchitra
Sriman
T. S. Suresh
Ejji K. Umamahesh
Katie Holmes
Benjamin Bratt
Zooey Deschanel
Charlie Hunnam
Melanie Lynskey
Mark Feuerstein
Philip Bosco
Gillian Ferrabee
Barry Julien
Tony Goldwyn
Scott Faulconbridge
Vanessa Petch
Victoria Petch
Kevin Ryder
Rachelle Lefevre
Paul Lemelin
Simon Peacock
Howard Bilerman
Mark Camacho
Mike Tsar
Robert Burns
Kim Lambert
Alicia Westelman
Jodie Resther
Joe Cobden
Jay Lavalley
Brett Watson
Noël Burton
Bill Rowat
Liz MacRae
Richard McConomy
Bill Corday
Gianpaolo Venuta
Sheena Larkin
Ivan Smith
Mike Paterson
Samir Mallal
David Gow
Tim Petch
Ryan Wilner
Charles S. Doucet
Andrea Sadler
Christian Paul
Shawn Baichoo
Ryan Kennedy
Philip Le Maistre
Giancarlo Caltabiano
Joseph Baugniet
John Fallon
Daniel Lee
Malcolm Travis
Bryanne Hastings
Joan McBride
Aaron Baril
David Benson
Chris Burrage
Jonathan Davis
Jon Day
Benjamin Kwong
Kris Epps
Owen Meyers
Nathaniel Misri
Dantonio Pisano
David Podgorski
Mark Barter
Mark Biunno
Padraig Buttner-Schnirer
Chris Forbes
Fred Issid
Andrew Mangal
Nick Roy
Jonathan Stewart
Si-Wai Francis Zih
Ahad Sianati
Raffael Cavaliere
Marika Shaw
Annesley Black
Marie Claude Harvey
Amelia McMahon
Tobie Miller
Anne-Lise Nadeau
Julie Paquet
Martine Poirier
Fanny Quenneville
Sahra Ucar
Shannon Simpson
Wing-Chan 'Emily' Chung
Marie-Noel Daignault
Nancy Duncan
Doherty Caitlin
Talya Grumberg
Robert Hughes
Tom Oliver
Stig Anderson
Bruce Barry
Harry Lawrence
Michael Mansson
Calvin Cross
Ivar Dahlbom
Bud Abbott
Lou Costello
Glenn Strange
Lon Chaney, Jr.
Jane Randolph
Lenore Aubert
Frank Ferguson
Bela Lugosi
Charles Bradstreet
Bobby Barber
Harry Brown
Joe Kirk
Howard Negley
Vincent Price
Carl Sklover
Helen Spring
Paul Stader
Clarence Straight
Nancy Guild
Arthur Franz
Sheldon Leonard
Adele Jergens
Gavin Muir
William Frawley
John Grant
Frederic I. Rinaldo
Marie Windsor
Michael Ansara
Richard Deacon
Mel Welles
Hank Mann
Donald Kerr
Peggy King
Kurt Katch
Richard Karlan
Eddie Parker
Paul Marion
Robin Morse
Kenneth Alton
Ralph Brooks
Jack Chefe
Carole Costello
Kem Dibbs
Franklyn Farnum
Aurello Galli
Art Gilmore
Jean Hartelle
Ted Hecht
Duke Johnson
Fred Johnson
Harry C. Johnson
Mitchell Kowall
Sharon Lee
John Powell
Kam Tong
Michael Vallon
Veola Vonn
Teruaki Masumoto
Gyanesh Mukherjee
Charuprakash Ghosh
Rabi Ghosh
Arun Roy
Shekhar Chatterjee
Reba Devi
Bireswar Sen
Ajit Bandyopadhyay
Durgadas Banerjee
Mahin Basu
Bhola Bhattacharya
Krishnakali Bhattacharya
Kali Chakraborty
Jaya Bhaduri Bachchan
Bindu
A.K. Hangal
Asrani
Durga Khote
David Abraham Cheulkar
Jaywant Pathare
Lalita Kumari
Bhola
Habiba Rehman
Biren Tripathy
Manohar Kamat
Raju Shrestha
Nicholas Hoult
Toni Collette
Rachel Weisz
Sharon Small
Hugh Grant
Isabel Brook
Augustus Prew
Victoria Smurfit
Natalia Tena
Joseph Speechley
Jordan Cook
Ryan Speechley
Madison Cook
Ben Ridgeway
Laura Kennington
Tanika Swaby
Peter McNicholl
Christopher Webster
Jack Warren
Russell Barr
Orlando Thor Newman
Paulette P. Williams
Fritha Goodey
Susannah Doyle
Delma Walsh
Jonathan Franklin
John Kamal
Lorna Dallison
Bethany Muir
Bruce Lawrence
Joyce Henderson
Jenny Galloway
Janine Duvitski
Sue Hyams
Maggie Kahal
Lynn Askew
Beverly Milward
Danielle Harvey
Anna Maria Credenzone Philip
Sarah King
Susan Ghamsary
Edna Johnson
Frog Stone
Buddy Hunter
Kristine Perrin
Nathan Perrin-Hunter
Rachael Perrin-Hunter
Amy Craven
Rebecca Craven
Sydney Livingstone
Cathy Murphy
Joanne Petitt
Jason Salkey
Annabelle Apsion
Matt Wilkinson
Peter Roy
Matthew James Thomas
Aaron Keeling
Scott Charles
Claire Harman
Sian Martin
Mark Drewry
Denise Stephenson
Rosalind Knight
Murray Lachlan Young
Alex Kew
Mark Heap
Sunanda Biswas
James Marshall-Gunn
Jamie Mayer
Korede Obashju
Stefan Pejic
Hope Davis
Dermot Mulroney
Howard Hesseman
Len Cariou
Connie Ray
June Squibb
Harry Groener
Mark Venhuizen
Cheryl Hamada
Steven Seagal
Pam Grier
Sharon Stone
Daniel Faraldo
Miguel Nino
Nicholas Kusenko
Joe Greco
Ron Dean
Michael Rooker
Gregory Alan Williams
Jack Wallace
Metta Davis
Joseph F. Kosala
Ronnie Barron
Joe D. Lauck
Henry Godinez
Danny Goldring
Thalmus Rasulala
Gene Barge
Mike James
India Cooper
Michelle Hoard
Christopher Peditto
Rafael González
Nydia Rodriguez Terracina
Ralph Foody
Vince Viverito
Alex Ross
Toni Fleming
Gene Hartline
Tom Milanovich
Dan Janecek
Lee de Broux
Patrick Gorman
Gary Goldman
Le Tuan
Dennis Phun
April Tran
Chantara Nop
Al Rasho
Mike Coglianese
Sandy Holt
Mike Nakayama
Zaid Farid
Juan Ramírez
Mario Nieves
Terry Stewart
Anthony Cannata
Lisa Tejero
Chris Karchmar
John Drummond
Clare Peck
Tom Muzila
Marc Katz
Haruo Matsuoka
Craig Dunn
Fred Degerberg
Robert Minkoff
Timothy W. Tiedje
Duane Martin
Leon Robinson
Tupac Shakur
Henry Simmons
Wood Harris
Michael Rispoli
Shawn Michael Howard
Marlon Wayans
Bernie Mac
Byron Minns
Tonya Pinkins
Eric Nies
Bill Rafferty
David Bailey
Penélope Cruz
Chete Lera
Najwa Nimri
Eduardo Noriega
Fele Martínez
Gérard Barray
Miguel Palenzuela
Pedro Miguel Martínez
Ion Gabella
Joserra Cadiñanos
Jorge de Juan
Paul Newman
Sally Field
Luther Adler
Wilford Brimley
Paul Michael Glaser
John Harkins
Josef Sommer
Don Hood
Arnie Ross
Phanie Napoli
Shelley Spurlock
Shawn McAllister
Joe Petrullo
William Kerwin
Oswaldo Calvo
Clardy Malugen
Sharon Anderson
Jody Wilson
Ilse Earl
Alfredo Álvarez Calderón
Pat Sullivan
Bill Hindman
John Archie
Timothy Hawkins
Ricardo Márquez
Patricia Matzdorff
Diane Zolten
Kathy Suergiu
Ted Bartsch
Sugar Ray Mann
Ric O'Barry
Chuck Lupo
Laurie V. Logan
Jack McDermott
Mark Harris
Bobbie Ellyne Kosstrin
Lynn Parraga
Lee Sandman
Barry Hober
Gary Van Auken
Scott Glenn
Dennis Haysbert
Richard Jenkins
Melora Hardin
Penny Johnson
Elaine Kagan
Kenneth Welsh
Alison Eastwood
Yau-Gene Chan
Charles McDaniel
John Lyle Campbell
Kimber Lynn Eastwood
Eric Dahlquist Jr.
Jack Stewart Taylor
Joy Ehrlich
Robert Harvey
Justin Long
Lewis Black
Blake Lively
Travis Van Winkle
Sam Horrigan
Adam Herschman
Columbus Short
Diora Baird
Jonah Hill
Christian Long
Mark Derwin
Maria Thayer
Hannah Marks
Robin Taylor
Kaitlin Doubleday
Joe Hursley
Kellan Lutz
Jeremy Howard
Ross Patterson
Artie Baxter
Brendan Miller
Chantelle Tibbs
Yorke Fryer
Skyler Stone
James Taku Leung
Ernest Shaun Reyes
Matt Noble
Lisa Gleave
Alejandra Gutierrez
Jim O'Heir
Darcy Shean
Jay Harik
Mathew Vigil
Debbon Ayer
Carla Jimenez
Ned Schmidtke
Tim Bagley
Ray Santiago
Margaret Travolta
Brian Powell
Mike Daily
Jeff Duby
Scott Adsit
Lindy Loundagin
Steve Little
Ethan Hova
Paraic McGann
Arthur Leo
Criscilla Crossland
Larke Hasstedt
Holly Fielding
Meredith Giangrande
Kate French
Christina Diaz
Zoe Di Stefano
David Carmon
Armen Weitzman
Christopher Khai
Stephanie St. Hilaire
Shameka Banks
Nicholas Garren
Louie Heredia
Matthew St. Clair
Jamie Leffler
Nina Nam
Wendy Rodriguez
Ronnie Lewis Jr.
Matthew Ching
Richard Brown
Mylika Davis
Laurie Meghan Phelps
Portis Hershey
Joseph Robinson
Jamie Seibert
Joseph Stiteler
JT Alexander
Ava Bellamy
Richard Blake
Jacare Calhoun
Curt Clendenin
Joshua Collins
Evyenia Constantine
Mindee de Lacey
Chad Fernandez
Asher Gold
Geoffrey Gould
Charleigh Harmon
Courtney Jackson
Jessica Jeensalute
Jason Kapraun
Benjamin Kim
Devon Marie King
Michelle Laine
Vanessa Lauren
Rebecca Parisi
Neil Patil
Nathan Pitkanen
Parker Quinn
Stanley Baker
Jacqueline Sassard
Vivien Merchant
Alexander Knox
Delphine Seyrig
Brian Phelan
Antonio Resines
Álex Angulo
Fernando Guillén
Frédérique Feder
Juan Viadas
Karra Elejalde
Saturnino García
Jaime Blanch
Bibiana Fernández
Rossy de Palma
Petr Forman
Edita Brychta
Zdeněk Svěrák
David Brian
Wally Cassell
Virginia Grey
Sidney Blackmer
Lee Van Cleef
Warren Stevens
Vera Ralston
Barry Kelley
Jan Sterling
Porter Hall
Robert Arthur
Frank Cady
Ray Teal
Lewis Martin
John Berkes
Frances Dominguez
Gene Evans
Frank Jaquet
Bob Bumpas
Geraldine Hall
Richard Gaines
Oscar Belinda
Martin Bendleton
Timothy Carey
Basil Chester
Ken Christy
Stewart Kirk Clawson
Iron Eyes Cody
Francisco Day
Lester Dorr
Claire Du Brey
Edith Evanson
William Fawcett
John Stuart Fulton
Joe Gray
Charles Griffin
Larry Hogan
Frank Keith
Bob Kortman
Martha Maryman
Stanley McKay
Joe J. Merrill
Paul D. Merrill
Ralph Moody
Bert Moorhouse
William H. O'Brien
Frank Andrew Parker
Martin Pendleton
William N. Peters
Jack Roberts
Bill Sheehan
Bert Stevens
John 'Bub' Sweeney
Jim Carrey
Courteney Cox
Dan Marino
Randall "Tex" Cobb
Udo Kier
Raynor Scheine
Tone-Lōc
Troy Evans
Noble Willingham
Frank Adonis
Tiny Ron Taylor
David Margulies
Judy Clayton
Bill Zuckert
Alice Drummond
Rebecca Ferratti
Antoni Corone
Margo Peace
Henry Landivar
Florence Mistrot
Robert Ferrell
Will Knickerbocker
Gary Munch
Terry Miller
Cristina Karman
Tom Wahl
Herbert Goldstein
Chaz Mena
Manuel L. García
Don Shula
Scott Mitchell
Pete Stoyanovich
Dwight Stephenson
Jeff Uhlenhake
Jeff Dellenbach
Marco Coleman
Kim Bokamper
Jeff Cross
Chris Barnes
Alex Webster
Paul Mazurkiewicz Jr.
Jack Owen
Robert Barrett
Bubba Baker
Vince Cecere
Robert Deacon
Dominic Jack Pizzo Sr.
Michelle Russo
Laird Stuart
Sophie Okonedo
Tommy Davidson
Adewale Akinnuoye-Agbaje
Bruce Spence
Maynard Eziashi
Sam Motoana Phillips
Tom Grunke
Danny D. Daniels
Damon Standifer
Andrew Steel
Arsenio 'Sonny' Trinidad
Richard Ward
Tim O'Connor
Antonio Fargas
Marlene Warfield
Norma Donaldson
Gilbert Lewis
Paul Benjamin
Joseph Attles
Ed Bernard
Burt Young
Frank Adu
Frank Arno
Tina Beyer
Gerry Black
Samual Blue Jr.
Norman Bush
Anthony C. Cannon
Maria Carey
Anthony Charnota
Dick Crockett
Keith Davis
George DiCenzo
Joe Dismas
Brendan Fay
Joe Fields
Clebert Ford
Barnetta Fowler
Andrea Lynn Frierson
George Garro
Joe George
Steve Gravers
Paul Harris
Dallas Edward Hayes
Jimmy Hayeson
Betty Haynes
Hilda Haynes
Gloria Hendry
Bette Howard
Peter Hock
Robert Jackson
K.C.
Phil Kennedy
Nick Lapadula
Alfred Leberfeld
Norman Matlock
Stephen Mendillo
Nat Polen
Robert Sacchi
Janet Sarno
Thurman Scott
George Strus
Adam Wade
Arnold Williams
Ken Lynch
Ric Mancini
Frank Macetta
Charlene Mathies
James Oliver
Natalie Smyka
Robert Ryan
Janet Leigh
Elsa Lanchester
Mary Astor
Ricardo Montalbán
Carl Weathers
Vanity
Roger Aaron Brown
Thomas F. Wilson
Robert Davi
Bill Duke
Stan Foster
Mary Ellen Trainor
Ed O'Ross
Robert Lee Minor
David Glen Eisley
Dennis Hayden
Brian Libby
David Efron
Alonzo Brown
Diana James
Thomas Wagner
Deidre Conrad
William H. Burton
Preston Hanson
Ivor Barry
Al Leong
John Lyons
Glenn R. Wilder
Steve Vandeman
Michael McManus
De'voreaux White
Melissa Prophet
Prince Hughes
Edgar Small
James Lew
Nicholas Worth
Chino 'Fats' Williams
Christopher Broughton
Charles Meshack
Branscombe Richmond
Richard L. Duran
Armelia McQueen
Susan Lentini
Kenneth B. Belsky
Francis X. McCarthy
Ronnie Carol
Tom Druilhet
J. Mills Goodloe
Van Johnson
Martine Carol
Craig Chester
Malcolm Gets
Robert Boileau
Kristen Schaal
Spencer Tracy
Katharine Hepburn
Clarence Kolb
Tom Ewell
Judy Holliday
Jean Hagen
Eve March
Will Wright
David Wayne
Hope Emerson
Emerson Treacy
Polly Moran
Elizabeth Flournoy
Bonnie Bannon
Charles Bastin
Cara Seymour
Ron Livingston
Jay Tavare
Doug Jones
Tilda Swinton
Litefoot
Jim Beaver
Roger Willie
Roger Fanter
Stephen Tobolowsky
Gregory Itzin
Curtis Hanson
Agnes NaDene Baddoo
Paul Fortune
Paul Jasmin
Lisa Love
Wendy Mogel
David O. Russell
Bob Yerkes
Lynn Court
Sandra Lee Gimpel
Caron Colvett
Larry Krask
John Etter
Ray Berrios
Nancy Lenehan
Susan Orlean
Lance Acord
Brigitte Bogle
Ryan Bosch
Tony Collucci
Lathan Crowe
John Cusack
Spike Jonze
Jake Magnuson
John Malkovich
Rheagan Wallace
Jayasudha
N. T. Rama Rao
Nagabhushanam
Kaikala Satyanarayana
Raja Babu
Jaggayya
Pandari Bai
Gummadi Venkateswara Rao
Rama Prabha
Tim Curry
Ray Walston
Kevin McCarthy
Estelle Harris
Carel Struycken
Jerry Messing
Haylie Duff
Alice Ghostley
Christopher Hart
Patrick Thomas
Nicole Fugere
Raúl Juliá
Anjelica Huston
Joan Cusack
Christina Ricci
Carol Kane
Kaitlyn Hooper
Kristen Hooper
Peter MacNicol
Cynthia Nixon
Peter Graves
Christine Baranski
Mercedes McNab
Jimmy Workman
Dana Ivey
Cheryl Chase
Ban Min-jeong
Kim Young-Min
Gye-nam Myeong
In-ok Lee
Yang Dong-geun
Cho Jae-hyun
Mitch Malem
Yeong-im Kim
Jo Myeong-Yeon
Fred Williamson
Richard Pryor
Robert Phillips
Suhaila Farhat
Victoria Jee
Joy Lober
Liz Treadwell
Heidi Dobbs
Mike Henry
Charles Bryan
Jon Devore
George Morris
Adrian Nicholas
Katarina Olikainen
Mike Vail
Nikki Sudden
Elisabeth Shue
Keith Coogan
Penelope Ann Miller
George Newbern
John Ford Noonan
John Davis Chandler
Ron Canada
Dan Ziskie
Marcia Bennett
Allan Aarons
Rummy Bishop
David Blacker
Lolita Davidovich
Vincent D'Onofrio
Maia Brewton
Monica Devereux
Andrew Shue
John Dee
Clarke Devereux
Rick Goldman
Deryck Hazel
John Hemphill
Frank Hill
Philip Honey
Clark Johnson
Maryann Kelman
Kirsten Kieferle
Peter Lavender
Kevin Lund
Southside Johnny
Allan Merovitz
Les Nirenberg
Richard Rebiere
Diane Robin
Sandi Ross
Charlene Shipp
Sandra Shuman
Linda Sorenson
Walt Woodson
Jaap Broeker
Albert Collins
David Simkins
John Barber
Joe Casey
Patrick Farley
Shaenon K. Garrity
Cayetano Garza
Chris Gossett
Tricia Hale
Lea Hernandez
Derek Kirk Kim
Scott Koblish
James Kochalka
Jean-Marc Lofficier
Joey Manley
Scott McCloud
Tom McWeeney
Mark Pacella
Ben Raab
Chris Shadoian
Tracy White
Marv Wolfman
Jim Zubkavich
Vera Vasilyeva
Alisa Freindlich
Pantelejmon Krymov
Andrey Petrov
Andrey Myagkov
Atta Yaqub
Eva Birthistle
Gary Lewis
David McKay
Shamshad Akhtar
Emma Friel
Gerard Kelly
Ghizala Avan
Shabana Bakhsh
Pasha Bocarie
Ahmad Riaz
Raymond Mearns
Karen Fraser
Igor Ilyinsky
Nikolai Tsereteli
Nikolai Batalov
Vera Orlova
Mikhail Zharov
Yuliya Solntseva
Aleksandra Peregonets
Yuri Zavadsky
Konstantin Eggert
Valentina Kuindzhi
Pavel Pol
Iosif Tolchanov
N. Tretyakova
Tamara Adelheim
Sofya Levitina
Varvara Massalitinova
Vladimir Uralsky
Galina Kravchenko
Stepan Shagaida
Sergei Stolyarov
Yevgeniya Melnikova
Stepan Shkurat
Boris Dobronravov
Yelena Maksimova
G. Tzoi
N. Tabounassov
L. Kan
Bipasha Basu
Supriya Pilgaonkar
John Abraham
Ali Asgar
Amardeep Jha
Dibyendu Bhattacharya
Shruti Ulfat
Ramona Sunavala
Tom Alter
Sumukhi Pendse
Arun Kannan
Raja Sevak
Prithvi Zutshi
Sadha
Kanika
Madhan Bob
Sunderarajan
Vasu Vikram
Rahman
R. Sundarrajan
Manobala
Bosskey
K. S. Ravikumar
Mary Beth Hurt
Willem Dafoe
Sean McCann
Wayne Robson
Jim True-Frost
Tim Post
Marian Seldes
Christopher Heyerdahl
Brigid Tierney
Janine Theriault
Yevgeny Leonov
Yevgeniya Simonova
Leonid Kuravlyov
Clyde Beatty
Frank Buck
Shemp Howard
Joe Besser
Hillary Brooke
Jason Patric
Rocky Giordani
Rachel Ward
Corey Carrier
Burke Byrnes
Jeanie Moore
Tom Wagner
Mike Hagerty
James E. Bowen Jr.
George Dickerson
Napoleon Walls
James Cotton
Vincent Mazella Jr.
Jeff Stryker
Candice Daly
Massimo Vanni
Don Wilson
Adrianne Joseph
Jim Moss
Nick Nicholson
Jim Gaines
Rosanna Arquette
Verna Bloom
Linda Fiorentino
Bronson Pinchot
Will Patton
Teri Garr
John Heard
Martin Scorsese
Robert Plunket
Rocco Sisto
Larry Block
Victor Argo
Murray Moston
John P. Codiglia
Clarke Evans
Victor Bumbalo
Joel Jason
Rand Carr
Henry Judd Baker
Margo Winkler
Victor Magnotta
Robin Johnson
Stephen Lim
Frank Aquilino
Maree Catalano
Paula Raflo
Rockets Redglare
Charles Scorsese
Arata Iura
Erika Oda
Susumu Terajima
Takashi Naitō
Kyōko Kagawa
Tôru Yuri
Yūsuke Iseya
Sayaka Yoshino
Kazuko Shirakawa
Sadao Abe
Kei Tani
Erland Josephson
Ingrid Thulin
Lena Olin
Nadja Palmstjerna-Weiss
Bertil Guve
Pierce Brosnan
Don Cheadle
Kate Walsh
Obba Babatunde
Chris Penn
Troy Garity
Russell Hornsby
Mykelti Williamson
Rex Linn
Robert Curtis Brown
Mark Moses
Michael Bowen
Tony Ledard
Karl Malone
Shaquille O'Neal
Gary Payton
Andrew Fiscella
Gianni Russo
Jeff Garlin
Lisa Thornhill
Tom McGowan
Joel McKinnon Miller
Rachael Harris
Shakara Ledard
Audrey Quock
David Reivers
Kamal Marayati
Gillian Vigman
Noémie Lenoir
Omahyra Mota
Oluchi
Alan Dale
Kirk B. R. Woller
Donald Miller
LeShay Tomlinson
Anthony Reynolds
Ted Detwiler
Chad Gabriel
Keith Sweitzer
O'Neal McNight
Frank Bruynbroek
Lisa Bubbles Brunson
Nicola Conlon
Jared Day
Jon Donahue
Tom Sean Foley
Phil Jackson
Paul Korda
Jamie Harrold
Tony Danza
Lily Rabe
Elisabeth Röhm
Steve Cirbus
Federico Castelluccio
Kent Masters King
Paul Borghese
